Part No,Name,Primary Customer,Lead Time,Min Inv,Max Inv,Inv WIP,Inv FG,Non Useable Inventory,Demand Type,Past Due,10/1/2025,10/2/2025,10/3/2025,10/4/2025,10/5/2025,10/6/2025,10/7/2025,10/8/2025,10/9/2025,10/10/2025,10/11/2025,10/12/2025,10/13/2025,10/14/2025,10/15/2025,10/16/2025,10/17/2025,10/18/2025,10/19/2025,10/20/2025,10/21/2025,10/22/2025,10/23/2025,10/24/2025,10/25/2025,10/26/2025,10/27/2025,10/28/2025,10/29/2025,10/30/2025,10/31/2025,11/1/2025,11/2/2025,11/3/2025,11/4/2025,11/5/2025,11/6/2025,11/7/2025,11/8/2025,11/9/2025,11/10/2025,11/11/2025,11/12/2025,11/13/2025,11/14/2025,11/15/2025,11/16/2025,11/17/2025,11/18/2025,11/19/2025,11/20/2025,11/21/2025,Fecha De Actualizacion
FGBMGO00003-DC-22,Glass Run Rear base LH Service Part,BMW NA,7,0,0,0,18,0,Customer Releases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00003-DC-22,Glass Run Rear base LH Service Part,BMW NA,7,0,0,0,18,0,Job Demand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00003-DC-22,Glass Run Rear base LH Service Part,BMW NA,7,0,0,0,18,0,Net Demand Job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00003-DC-22,Glass Run Rear base LH Service Part,BMW NA,7,0,0,0,18,0,Net Demand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00003-DC-22,Glass Run Rear base LH Service Part,BMW NA,7,0,0,0,18,0,Scheduled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00003-DC-22,Glass Run Rear base LH Service Part,BMW NA,7,0,0,0,18,0,Net,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,2025-10-01 09:00:34
FGBMGO00004-DC-22,Glass Run Rear base RH Service Part,BMW NA,7,0,0,0,0,0,Customer Releases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00004-DC-22,Glass Run Rear base RH Service Part,BMW NA,7,0,0,0,0,0,Job Demand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00004-DC-22,Glass Run Rear base RH Service Part,BMW NA,7,0,0,0,0,0,Net Demand Job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00004-DC-22,Glass Run Rear base RH Service Part,BMW NA,7,0,0,0,0,0,Net Demand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00004-DC-22,Glass Run Rear base RH Service Part,BMW NA,7,0,0,0,0,0,Scheduled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00004-DC-22,Glass Run Rear base RH Service Part,BMW NA,7,0,0,0,0,0,Net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00005-DC-23,Glass Run Front Bright LH Service Part,BMW NA,7,0,0,0,0,114,Customer Releases,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00005-DC-23,Glass Run Front Bright LH Service Part,BMW NA,7,0,0,0,0,114,Job Demand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00005-DC-23,Glass Run Front Bright LH Service Part,BMW NA,7,0,0,0,0,114,Net Demand Job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00005-DC-23,Glass Run Front Bright LH Service Part,BMW NA,7,0,0,0,0,114,Net Demand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00005-DC-23,Glass Run Front Bright LH Service Part,BMW NA,7,0,0,0,0,114,Scheduled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00005-DC-23,Glass Run Front Bright LH Service Part,BMW NA,7,0,0,0,0,114,Net,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,2025-10-01 09:00:34
FGBMGO00005-PN-23,Glass Run Front Bright LH,BMW,7,0,0,0,0,0,Customer Releases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00005-PN-23,Glass Run Front Bright LH,BMW,7,0,0,0,0,0,Job Demand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00005-PN-23,Glass Run Front Bright LH,BMW,7,0,0,0,0,0,Net Demand Job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00005-PN-23,Glass Run Front Bright LH,BMW,7,0,0,0,0,0,Net Demand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00005-PN-23,Glass Run Front Bright LH,BMW,7,0,0,0,0,0,Scheduled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00005-PN-23,Glass Run Front Bright LH,BMW,7,0,0,0,0,0,Net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00005-SP-23,Glass Run Front Bright LH,BMW,7,0,0,0,0,0,Customer Releases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00005-SP-23,Glass Run Front Bright LH,BMW,7,0,0,0,0,0,Job Demand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00005-SP-23,Glass Run Front Bright LH,BMW,7,0,0,0,0,0,Net Demand Job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00005-SP-23,Glass Run Front Bright LH,BMW,7,0,0,0,0,0,Net Demand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00005-SP-23,Glass Run Front Bright LH,BMW,7,0,0,0,0,0,Scheduled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00005-SP-23,Glass Run Front Bright LH,BMW,7,0,0,0,0,0,Net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00005-ZA-23,Glass Run Front Bright LH,BMW,7,0,0,0,0,0,Customer Releases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00005-ZA-23,Glass Run Front Bright LH,BMW,7,0,0,0,0,0,Job Demand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00005-ZA-23,Glass Run Front Bright LH,BMW,7,0,0,0,0,0,Net Demand Job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00005-ZA-23,Glass Run Front Bright LH,BMW,7,0,0,0,0,0,Net Demand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00005-ZA-23,Glass Run Front Bright LH,BMW,7,0,0,0,0,0,Scheduled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00005-ZA-23,Glass Run Front Bright LH,BMW,7,0,0,0,0,0,Net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00006-DC-23,Glass Run Front Bright RH Service Part,BMW NA,7,0,0,0,57,103,Customer Releases,44,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00006-DC-23,Glass Run Front Bright RH Service Part,BMW NA,7,0,0,0,57,103,Job Demand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00006-DC-23,Glass Run Front Bright RH Service Part,BMW NA,7,0,0,0,57,103,Net Demand Job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00006-DC-23,Glass Run Front Bright RH Service Part,BMW NA,7,0,0,0,57,103,Net Demand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00006-DC-23,Glass Run Front Bright RH Service Part,BMW NA,7,0,0,0,57,103,Scheduled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00006-DC-23,Glass Run Front Bright RH Service Part,BMW NA,7,0,0,0,57,103,Net,13,13,13,13,13,13,13,13,13,13,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,2025-10-01 09:00:34
FGBMGO00006-PN-23,Glass Run Front Bright RH,BMW,7,0,0,0,0,0,Customer Releases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00006-PN-23,Glass Run Front Bright RH,BMW,7,0,0,0,0,0,Job Demand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00006-PN-23,Glass Run Front Bright RH,BMW,7,0,0,0,0,0,Net Demand Job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00006-PN-23,Glass Run Front Bright RH,BMW,7,0,0,0,0,0,Net Demand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00006-PN-23,Glass Run Front Bright RH,BMW,7,0,0,0,0,0,Scheduled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00006-PN-23,Glass Run Front Bright RH,BMW,7,0,0,0,0,0,Net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00006-SP-23,Glass Run Front Bright RH,BMW,7,0,0,0,0,0,Customer Releases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00006-SP-23,Glass Run Front Bright RH,BMW,7,0,0,0,0,0,Job Demand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00006-SP-23,Glass Run Front Bright RH,BMW,7,0,0,0,0,0,Net Demand Job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00006-SP-23,Glass Run Front Bright RH,BMW,7,0,0,0,0,0,Net Demand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00006-SP-23,Glass Run Front Bright RH,BMW,7,0,0,0,0,0,Scheduled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00006-SP-23,Glass Run Front Bright RH,BMW,7,0,0,0,0,0,Net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00006-ZA-23,Glass Run Front Bright RH,BMW,7,0,0,0,0,0,Customer Releases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00006-ZA-23,Glass Run Front Bright RH,BMW,7,0,0,0,0,0,Job Demand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00006-ZA-23,Glass Run Front Bright RH,BMW,7,0,0,0,0,0,Net Demand Job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00006-ZA-23,Glass Run Front Bright RH,BMW,7,0,0,0,0,0,Net Demand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00006-ZA-23,Glass Run Front Bright RH,BMW,7,0,0,0,0,0,Scheduled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00006-ZA-23,Glass Run Front Bright RH,BMW,7,0,0,0,0,0,Net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00007-DC-25,Glass Run Rear Bright LH Service Part,BMW NA,7,0,0,0,29,22,Customer Releases,44,0,44,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00007-DC-25,Glass Run Rear Bright LH Service Part,BMW NA,7,0,0,0,29,22,Job Demand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00007-DC-25,Glass Run Rear Bright LH Service Part,BMW NA,7,0,0,0,29,22,Net Demand Job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
FGBMGO00007-DC-25,Glass Run Rear Bright LH Service Part,BMW NA,7,0,0,0,29,22,Net Demand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 09:00:34
